,Timestamp,Username,terms and conditions,Name,Equipment Sjoeskrenten,Equipment Ski/Snowscooter,Comments
0,2021/05/18 12:34:09 AM GMT+2,Taniya@example.com,I have read and accepted the terms and conditions,Taniya,42,1109,
1,2021/05/18 3:13:29 PM GMT+2,Icey@example.com,I have read and accepted the terms and conditions,Icey,,"1109,1112",
2,2021/05/18 4:30:29 PM GMT+2,Abbie@example.com,I have read and accepted the terms and conditions,Abbie," 6, 41, 70",,
3,2021/05/18 4:35:07 PM GMT+2,Abbie@example.com,I have read and accepted the terms and conditions,Abbie,"6, 41, 70",,
4,2021/05/18 5:32:57 PM GMT+2,Lana@example.com,I have read and accepted the terms and conditions,Lana,"9,41,43, 47, 60","1109, 1110, 1111, 1112, 1101,1124,1124, 1164",
5,2021/05/18 9:50:11 PM GMT+2,Augustus@example.com,I have read and accepted the terms and conditions,Augustus,"9,41,42,43,46,47,60,63","1098,1109,1110,1111,1112",
6,2021/05/18 10:01:39 PM GMT+2,Kelsie@example.com,I have read and accepted the terms and conditions,Kelsie,"6,9,41,43,46,47,52,60,70","1101,1109,1111,1112,1114,1121,1121,1120,1140,1168,1169",
7,2021/05/18 10:04:52 PM GMT+2,Leonia@example.com,I have read and accepted the terms and conditions,Leonia,"6,9,29,32,41,43,46,47,52,53,64,66,",,
8,2021/05/19 8:49:08 AM GMT+2,Erland@example.com,I have read and accepted the terms and conditions,Erland,"41,66","1109,1112,1115",
9,2021/05/19 8:49:11 AM GMT+2,Thurlow@example.com,I have read and accepted the terms and conditions,Thurlow,"6,46,61,71","1100,1101,1109,1112,1175",
10,2021/05/19 9:13:48 AM GMT+2,Wendi@example.com,I have read and accepted the terms and conditions,Wendi,"9,60,61,63","1102,1109,1111",
11,2021/05/19 9:22:06 AM GMT+2,Baldwin@example.com,I have read and accepted the terms and conditions,Baldwin,"91,10,105","3,95,15,37",
12,2021/05/19 9:23:11 AM GMT+2,Damarcus@example.com,I have read and accepted the terms and conditions,Damarcus,"9,41,43,46,52,53,54,66","1100,1108,1109,1110,1111,1112,1119,1120,1121,1126",
13,2021/05/19 9:23:28 AM GMT+2,Rashad@example.com,I have read and accepted the terms and conditions,Rashad,"29,46","1109,1120",
14,2021/05/19 9:23:30 AM GMT+2,Nicholas@example.com,I have read and accepted the terms and conditions,Nicholas,43,"1109,1120,1137,1168,1169",
15,2021/05/19 9:31:43 AM GMT+2,Leon@example.com,I have read and accepted the terms and conditions,Leon,"41,43,47,52,53","1109,1110,1112",
16,2021/05/19 9:35:07 AM GMT+2,Tennie@example.com,I have read and accepted the terms and conditions,Tennie,"9,41","1109,1112,1120,1126,1138,",
17,2021/05/19 9:44:12 AM GMT+2,Shelton@example.com,I have read and accepted the terms and conditions,Shelton,66,"1099,1109,1112",
18,2021/05/19 9:45:22 AM GMT+2,Brogan@example.com,I have read and accepted the terms and conditions,Brogan,"41,43,46,60,63","1103,1109,1119,1120,1134,1142,1168",
19,2021/05/19 9:50:46 AM GMT+2,Claude@example.com,I have read and accepted the terms and conditions,Claude,"9,60",,
20,2021/05/19 9:57:07 AM GMT+2,Jovan@example.com,I have read and accepted the terms and conditions,Jovan,"6, 46, 66, 41, 41, 43, 49, 52, 55, 54, 47","1098, 1099, 1109, 1112, 1110, 1114, 1116, 1116, 1169, 1168, 1120, 1137, 1122, 1152, 1172, 1126, 1119, 1129",
21,2021/05/19 10:00:10 AM GMT+2,Wells@example.com,I have read and accepted the terms and conditions,Wells,"9, 60",,
22,2021/05/19 10:13:09 AM GMT+2,Arvilla@example.com,I have read and accepted the terms and conditions,Arvilla,"9,60",1109,
23,2021/05/19 10:29:31 AM GMT+2,Annabel@example.com,I have read and accepted the terms and conditions,Annabel,"9,20,20,20,25,26,26,27,28,29,46,63","1112,1120,1139,1168",
24,2021/05/19 10:47:49 AM GMT+2,Florida@example.com,I have read and accepted the terms and conditions,Florida,"9, 61","1119, 1131, 1168",
